exported_at,pipeline,kind,entity,value,last_changed
2026-08-21T10:38:52,capture_daily_monthly_tracking,accumulator,input_number.outdoor_temp_days_month,20.0,2026-08-21T03:56:30.179439+00:00
2026-08-21T10:38:52,capture_daily_monthly_tracking,accumulator,input_number.outdoor_temp_sum_month,1469.8,2026-08-21T03:56:30.166047+00:00
2026-08-21T10:38:52,capture_daily_monthly_tracking,accumulator,input_number.zone_1f_cool_cycles_month_acc,0.0,2026-08-20T01:26:37.606441+00:00
2026-08-21T10:38:52,capture_daily_monthly_tracking,accumulator,input_number.zone_1f_cool_runtime_month_acc,0.0,2026-08-20T01:26:37.606290+00:00
2026-08-21T10:38:52,capture_daily_monthly_tracking,accumulator,input_number.zone_1f_cycles_month_acc,0.0,2026-08-20T01:26:37.606013+00:00
2026-08-21T10:38:52,capture_daily_monthly_tracking,accumulator,input_number.zone_1f_runtime_month_acc,0.0,2026-08-20T01:26:37.605877+00:00
2026-08-21T10:38:52,capture_daily_monthly_tracking,accumulator,input_number.zone_2f_cool_cycles_month_acc,110.0,2026-08-21T03:56:30.219393+00:00
2026-08-21T10:38:52,capture_daily_monthly_tracking,accumulator,input_number.zone_2f_cool_runtime_month_acc,49.26,2026-08-21T03:56:30.218242+00:00
2026-08-21T10:38:52,capture_daily_monthly_tracking,accumulator,input_number.zone_2f_cycles_month_acc,0.0,2026-08-20T01:26:37.606081+00:00
2026-08-21T10:38:52,capture_daily_monthly_tracking,accumulator,input_number.zone_2f_runtime_month_acc,0.0,2026-08-20T01:26:37.605943+00:00
2026-08-21T10:38:52,capture_daily_monthly_tracking,accumulator,input_datetime.monthly_tracking_capture_last_ok,2026-08-20 23:56:30,2026-08-21T03:56:30.151538+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_cdd,accumulator,input_number.runtime_per_cdd_day_1,33.9,2026-08-21T03:56:45.122994+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_cdd,accumulator,input_number.runtime_per_cdd_day_2,34.8,2026-08-21T03:56:45.116264+00:00
