# HA energy export  date=2026-09-06  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum) | UTILITY(SDR; independent meters, NOT part of the SEM partition)
# utility units: sensor.gas_meter_volume=ft3  sensor.water_meter_volume=gal  sensor.electric_meter_energy=kWh   TOTAL row is per-column units, not all kWh
# gas therms=0.7004 at btu=1030.0 pf=1.0  sem_vs_util=0.36%
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption,sensor.gas_meter_volume,sensor.water_meter_volume,sensor.electric_meter_energy
00:00,0.279,0.0,0.043,0.121,0.038,0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.0,0.0,0.007,0.0,0.1,0.28
01:00,0.405,0.0,0.042,0.12,0.039,0.018,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.009,0.011,0.0,0.0,0.013,0.0,0.1,0.4
02:00,0.275,0.0,0.042,0.116,0.038,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.0,0.0,0.007,0.0,1.3,0.28
03:00,0.339,0.0,0.042,0.124,0.041,0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.008,0.012,0.0,0.0,0.008,0.0,0.0,0.34
04:00,0.352,0.0,0.043,0.118,0.039,0.012,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.008,0.012,0.0,0.0,0.007,0.0,0.1,0.35
05:00,0.256,0.0,0.043,0.096,0.039,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.0,0.0,0.007,0.0,0.1,0.25
06:00,1.322,0.548,0.228,0.06,0.042,0.047,0.013,0.0,0.196,0.0,0.103,0.016,0.0,0.0,0.0,0.0,0.0,0.019,0.012,0.0,0.0,0.033,4.0,7.9,1.33
07:00,0.547,0.0,0.034,0.067,0.086,0.086,0.01,0.0,0.042,0.0,0.02,0.017,0.0,0.0,0.0,0.0,0.119,0.016,0.012,0.036,0.0,0.067,0.0,0.2,0.54
08:00,0.358,0.0,0.043,0.072,0.121,0.013,0.044,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.011,0.012,0.073,0.0,0.008,2.0,7.4,0.36
09:00,0.388,0.0,0.042,0.067,0.117,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.009,0.012,0.077,0.0,0.007,0.0,1.5,0.38
