# HA energy export  date=2026-07-07  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum)
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption
00:00,0.871,0.0,0.042,0.1,0.025,0.017,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.593,0.007,0.01,0.0,0.0,0.012
01:00,0.422,0.0,0.042,0.1,0.025,0.014,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.007,0.011,0.0,0.0,0.009
02:00,0.216,0.0,0.043,0.056,0.026,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.01,0.0,0.0,0.007
03:00,0.202,0.0,0.042,0.04,0.026,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.0,0.0,0.008
04:00,0.225,0.0,0.043,0.065,0.025,0.013,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.01,0.0,0.0,0.007
05:00,0.219,0.0,0.042,0.059,0.025,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.0,0.0,0.008
06:00,0.69,0.0,0.041,0.046,0.052,0.068,0.018,0.0,0.225,0.0,0.145,0.019,0.0,0.0,0.0,0.0,0.0,0.023,0.011,0.019,0.0,0.06
07:00,0.443,0.0,0.043,0.096,0.088,0.08,0.009,0.0,0.043,0.0,0.012,0.005,0.0,0.0,0.0,0.0,0.0,0.016,0.01,0.051,0.0,0.073
08:00,0.36,0.0,0.042,0.109,0.108,0.013,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.007,0.011,0.072,0.0,0.007
09:00,0.503,0.0,0.043,0.099,0.106,0.013,0.044,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.128,0.002,0.0,0.009,0.011,0.073,0.0,0.008
10:00,0.639,0.0,0.042,0.043,0.112,0.013,0.01,0.252,0.004,0.0,0.021,0.071,0.0,0.0,0.01,0.0,0.0,0.01,0.011,0.072,0.006,0.007
11:00,4.497,0.0,0.043,0.056,0.106,0.052,0.01,0.059,0.004,0.0,0.0,0.048,0.0,3.746,0.0,0.0,0.302,0.008,0.011,0.073,0.007,0.013
12:00,0.917,0.0,0.042,0.067,0.062,0.014,0.062,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.001,0.587,0.01,0.011,0.029,0.007,0.008
13:00,1.004,0.0,0.043,0.095,0.103,0.013,0.052,0.0,0.0,0.0,0.0,0.033,0.006,0.0,0.0,0.001,0.588,0.009,0.011,0.071,0.007,0.007
14:00,0.976,0.0,0.043,0.117,0.114,0.014,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.015,0.011,0.076,0.007,0.008
15:00,0.625,0.0,0.041,0.091,0.12,0.012,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276,0.016,0.011,0.08,0.007,0.007
16:00,0.337,0.0,0.043,0.098,0.116,0.014,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.075,0.007,0.007
17:00,0.352,0.0,0.042,0.069,0.092,0.065,0.01,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.016,0.011,0.058,0.004,0.06
18:00,0.397,0.0,0.042,0.106,0.061,0.092,0.01,0.003,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.015,0.011,0.035,0.0,0.084
19:00,0.321,0.0,0.042,0.099,0.098,0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.01,0.072,0.0,0.007
20:00,0.37,0.0,0.043,0.094,0.101,0.061,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.067,0.0,0.043
21:00,0.657,0.0,0.042,0.04,0.107,0.015,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365,0.007,0.011,0.075,0.0,0.009
22:00,0.902,0.0,0.042,0.062,0.106,0.012,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.589,0.007,0.011,0.072,0.0,0.007
23:00,1.587,0.556,0.23,0.059,0.032,0.013,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591,0.007,0.01,0.006,0.0,0.008
TOTAL_kWh,17.732,0.556,1.203,1.866,1.836,0.66,0.484,0.314,0.276,0.0,0.178,0.208,0.009,3.748,0.138,0.005,4.642,0.238,0.258,1.076,0.052,0.474
