# HA energy export  date=2026-09-02  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum) | UTILITY(SDR; independent meters, NOT part of the SEM partition)
# utility units: sensor.gas_meter_volume=ft3  sensor.water_meter_volume=gal  sensor.electric_meter_energy=kWh   TOTAL row is per-column units, not all kWh
# gas therms=0.2678 at btu=1030.0 pf=1.0  sem_vs_util=0.67%
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption,sensor.gas_meter_volume,sensor.water_meter_volume,sensor.electric_meter_energy
00:00,0.225,0.0,0.041,0.05,0.039,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.0,0.0,0.007,0.0,0.1,0.22
01:00,0.243,0.0,0.041,0.062,0.039,0.018,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.0,0.0,0.013,0.0,0.0,0.24
02:00,0.334,0.0,0.04,0.055,0.039,0.012,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.008,0.012,0.0,0.0,0.007,0.0,0.1,0.33
03:00,0.231,0.0,0.04,0.054,0.041,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.012,0.0,0.0,0.008,0.0,0.0,0.22
04:00,0.232,0.0,0.041,0.055,0.039,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.0,0.0,0.007,0.0,0.1,0.23
05:00,0.33,0.0,0.04,0.054,0.039,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.01,0.011,0.0,0.0,0.007,0.0,0.0,0.32
06:00,0.598,0.0,0.041,0.055,0.043,0.052,0.023,0.0,0.205,0.0,0.103,0.01,0.0,0.0,0.0,0.0,0.0,0.019,0.012,0.0,0.0,0.037,4.0,8.6,0.6
07:00,0.425,0.0,0.041,0.058,0.075,0.104,0.018,0.0,0.048,0.0,0.015,0.002,0.0,0.0,0.0,0.0,0.0,0.017,0.012,0.028,0.0,0.081,2.0,0.1,0.43
08:00,0.424,0.0,0.04,0.052,0.111,0.012,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.01,0.012,0.07,0.0,0.007,0.0,9.0,0.41
09:00,1.174,0.0,0.041,0.061,0.108,0.013,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.865,0.001,0.01,0.011,0.012,0.07,0.0,0.007,2.0,7.2,1.17
10:00,0.416,0.0,0.041,0.051,0.12,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.0,0.01,0.012,0.073,0.007,0.008,0.0,12.6,0.42
11:00,4.442,0.0,0.04,0.062,0.118,0.018,0.01,0.0,0.0,0.0,0.04,0.0,0.0,4.091,0.0,0.001,0.0,0.01,0.012,0.072,0.007,0.012,0.0,4.4,4.41
12:00,1.567,0.0,0.041,0.063,0.119,0.012,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.103,0.008,0.012,0.073,0.007,0.008,0.0,0.1,1.55
13:00,0.665,0.0,0.04,0.055,0.119,0.013,0.031,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.337,0.001,0.0,0.016,0.012,0.072,0.007,0.007,6.0,14.8,0.66
14:00,1.344,0.0,0.041,0.092,0.09,0.013,0.01,0.0,0.0,0.4,0.0,0.007,0.0,0.0,0.62,0.0,0.0,0.022,0.012,0.045,0.007,0.007,2.0,17.7,1.35
15:00,0.587,0.0,0.04,0.115,0.119,0.013,0.01,0.0,0.0,0.204,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.021,0.012,0.072,0.007,0.008,4.0,4.8,0.58
16:00,3.387,0.0,0.041,0.122,0.117,0.012,0.01,0.0,0.0,0.0,0.0,0.007,0.0,2.892,0.0,0.001,0.122,0.011,0.012,0.071,0.007,0.007,0.0,0.5,3.37
17:00,0.46,0.0,0.041,0.121,0.191,0.014,0.019,0.003,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.016,0.012,0.077,0.072,0.009,2.0,1.6,0.45
18:00,0.499,0.0,0.041,0.114,0.094,0.118,0.02,0.018,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.003,0.021,0.012,0.047,0.007,0.094,2.0,4.0,0.5
19:00,0.631,0.0,0.041,0.114,0.128,0.127,0.02,0.001,0.0,0.0,0.0,0.012,0.004,0.0,0.0,0.0,0.123,0.01,0.012,0.074,0.007,0.094,2.0,1.5,0.63
20:00,0.44,0.0,0.041,0.101,0.104,0.116,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.049,0.007,0.081,0.0,1.3,0.44
21:00,1.468,0.766,0.291,0.108,0.137,0.014,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.001,0.011,0.012,0.075,0.007,0.008,0.0,7.0,1.45
