# HA energy export  date=2026-08-19  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum)
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption
00:00,1.581,1.016,0.343,0.07,0.049,0.013,0.019,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.016,0.0,0.007
01:00,0.252,0.0,0.043,0.07,0.049,0.012,0.02,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.009,0.011,0.016,0.0,0.008
02:00,0.236,0.0,0.043,0.053,0.051,0.013,0.02,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.016,0.0,0.007
03:00,0.238,0.0,0.043,0.053,0.051,0.013,0.02,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.016,0.0,0.007
04:00,1.277,0.784,0.275,0.071,0.051,0.013,0.019,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.011,0.016,0.0,0.008
05:00,1.034,0.506,0.203,0.063,0.049,0.013,0.02,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.113,0.01,0.011,0.016,0.0,0.007
06:00,0.652,0.0,0.043,0.081,0.05,0.042,0.025,0.0,0.216,0.0,0.106,0.023,0.0,0.0,0.0,0.003,0.0,0.019,0.011,0.016,0.0,0.036
07:00,0.44,0.0,0.042,0.065,0.049,0.11,0.019,0.0,0.063,0.0,0.01,0.0,0.0,0.0,0.0,0.003,0.0,0.017,0.011,0.016,0.0,0.103
08:00,0.33,0.0,0.043,0.081,0.094,0.028,0.025,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.009,0.011,0.059,0.0,0.021
09:00,0.369,0.0,0.043,0.113,0.108,0.013,0.033,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.075,0.0,0.007
10:00,0.409,0.0,0.044,0.121,0.118,0.013,0.034,0.0,0.004,0.0,0.021,0.0,0.0,0.0,0.0,0.003,0.0,0.01,0.011,0.084,0.0,0.008
11:00,2.385,1.538,0.453,0.115,0.113,0.013,0.036,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.006,0.012,0.011,0.075,0.0,0.007
12:00,1.074,0.498,0.174,0.12,0.061,0.018,0.047,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.073,0.009,0.011,0.032,0.0,0.013
13:00,1.575,0.976,0.305,0.118,0.058,0.013,0.019,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.01,0.011,0.025,0.0,0.008
14:00,1.434,0.532,0.188,0.264,0.068,0.019,0.02,0.0,0.004,0.0,0.0,0.03,0.0,0.0,0.0,0.004,0.0,0.027,0.011,0.035,0.0,0.007
15:00,2.794,1.844,0.538,0.113,0.09,0.021,0.02,0.0,0.004,0.0,0.0,0.0,0.004,0.0,0.0,0.003,0.0,0.017,0.012,0.056,0.0,0.008
16:00,1.175,0.606,0.201,0.121,0.112,0.021,0.043,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.012,0.011,0.078,0.0,0.007
17:00,1.631,0.832,0.27,0.121,0.088,0.082,0.035,0.0,0.004,0.0,0.0,0.01,0.0,0.0,0.0,0.004,0.111,0.021,0.011,0.054,0.0,0.065
18:00,2.447,1.124,0.364,0.125,0.068,0.122,0.02,0.458,0.001,0.0,0.0,0.086,0.0,0.0,0.0,0.003,0.0,0.019,0.011,0.035,0.0,0.095
19:00,0.561,0.0,0.042,0.119,0.104,0.128,0.02,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.006,0.0,0.01,0.012,0.066,0.0,0.094
20:00,1.892,1.046,0.355,0.119,0.078,0.111,0.019,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,0.004,0.086,0.009,0.011,0.038,0.0,0.074
21:00,1.362,0.676,0.241,0.119,0.111,0.02,0.044,0.017,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.03,0.033,0.011,0.011,0.06,0.0,0.01
22:00,1.094,0.598,0.219,0.123,0.054,0.013,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.009,0.011,0.02,0.0,0.007
23:00,0.728,0.35,0.147,0.121,0.033,0.013,0.009,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.0,0.0,0.008
TOTAL_kWh,26.97,12.926,4.662,2.539,1.757,0.877,0.598,0.496,0.344,0.0,0.137,0.237,0.019,0.0,0.0,0.116,0.422,0.29,0.266,0.92,0.0,0.622
