# HA energy export  date=2026-07-25  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum)
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption
00:00,0.325,0.0,0.04,0.117,0.049,0.018,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.007,0.01,0.016,0.0,0.013
01:00,0.85,0.0,0.041,0.071,0.049,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588,0.007,0.011,0.017,0.0,0.008
02:00,0.853,0.0,0.041,0.064,0.052,0.013,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597,0.007,0.01,0.016,0.0,0.007
03:00,0.849,0.0,0.041,0.062,0.051,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597,0.008,0.011,0.016,0.0,0.008
04:00,0.838,0.0,0.041,0.052,0.05,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597,0.007,0.01,0.016,0.0,0.007
05:00,0.543,0.0,0.04,0.061,0.05,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.008,0.011,0.017,0.0,0.007
06:00,0.647,0.0,0.04,0.068,0.049,0.068,0.018,0.0,0.212,0.0,0.113,0.002,0.0,0.0,0.0,0.0,0.0,0.023,0.01,0.016,0.0,0.062
07:00,0.384,0.0,0.04,0.059,0.063,0.083,0.012,0.0,0.048,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.011,0.031,0.0,0.075
08:00,0.865,0.0,0.041,0.049,0.113,0.014,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.564,0.002,0.0,0.01,0.011,0.081,0.0,0.008
09:00,0.901,0.0,0.041,0.107,0.108,0.014,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.548,0.0,0.0,0.009,0.011,0.075,0.0,0.007
10:00,0.431,0.0,0.041,0.113,0.108,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.001,0.001,0.0,0.009,0.011,0.067,0.007,0.007
11:00,5.074,0.66,0.218,0.113,0.113,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,3.878,0.0,0.0,0.0,0.008,0.011,0.073,0.007,0.014
12:00,0.375,0.0,0.041,0.105,0.072,0.014,0.01,0.05,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.032,0.007,0.007
13:00,2.333,1.09,0.345,0.119,0.075,0.014,0.009,0.611,0.002,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.011,0.011,0.035,0.007,0.008
14:00,3.386,1.336,0.417,0.102,0.087,0.018,0.01,0.924,0.003,0.38,0.0,0.019,0.008,0.0,0.0,0.0,0.0,0.029,0.011,0.047,0.007,0.007
15:00,0.895,0.0,0.04,0.101,0.114,0.023,0.012,0.019,0.001,0.216,0.0,0.0,0.003,0.0,0.0,0.0,0.304,0.018,0.011,0.075,0.007,0.007
16:00,2.275,1.02,0.325,0.11,0.122,0.022,0.012,0.004,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.584,0.009,0.011,0.05,0.038,0.008
17:00,2.249,0.746,0.248,0.126,0.262,0.042,0.01,0.109,0.0,0.0,0.0,0.025,0.002,0.0,0.0,0.0,0.587,0.023,0.011,0.039,0.189,0.026
18:00,2.722,1.008,0.34,0.122,0.073,0.119,0.01,0.244,0.0,0.0,0.058,0.072,0.0,0.0,0.0,0.0,0.589,0.021,0.011,0.033,0.007,0.091
19:00,1.862,0.586,0.228,0.114,0.119,0.117,0.01,0.001,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.591,0.009,0.011,0.078,0.007,0.081
20:00,1.338,0.678,0.256,0.114,0.096,0.116,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.011,0.055,0.007,0.081
21:00,1.333,0.682,0.266,0.12,0.125,0.014,0.043,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.008,0.011,0.073,0.007,0.008
22:00,0.295,0.0,0.04,0.1,0.063,0.014,0.021,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.01,0.028,0.0,0.007
23:00,0.265,0.0,0.04,0.106,0.031,0.014,0.02,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.0,0.0,0.007
TOTAL_kWh,31.888,7.806,3.251,2.275,2.094,0.822,0.397,1.973,0.266,0.596,0.208,0.137,0.016,3.948,1.113,0.013,5.353,0.282,0.258,0.986,0.297,0.561
