# HA energy export  date=2026-09-14  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum) | UTILITY(SDR; independent meters, NOT part of the SEM partition)
# utility units: sensor.gas_meter_volume=ft3  sensor.water_meter_volume=gal  sensor.electric_meter_energy=kWh   TOTAL row is per-column units, not all kWh
# gas therms=0.4738 at btu=1030.0 pf=1.0  sem_vs_util=0.31%
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption,sensor.gas_meter_volume,sensor.water_meter_volume,sensor.electric_meter_energy
00:00,0.228,0.0,0.043,0.059,0.038,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.0,0.007,0.0,0.1,0.24
01:00,0.38,0.0,0.043,0.073,0.039,0.018,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.009,0.011,0.0,0.0,0.013,0.0,1.2,0.37
02:00,0.241,0.0,0.043,0.072,0.038,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.0,0.007,0.0,0.0,0.25
03:00,0.228,0.0,0.042,0.054,0.042,0.012,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.0,0.0,0.008,0.0,0.0,0.23
04:00,0.345,0.0,0.043,0.06,0.039,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.008,0.011,0.0,0.0,0.007,0.0,0.1,0.34
05:00,0.246,0.0,0.043,0.073,0.039,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.0,0.0,0.007,2.0,1.2,0.25
06:00,1.349,0.578,0.225,0.062,0.038,0.025,0.023,0.0,0.218,0.0,0.098,0.002,0.0,0.0,0.0,0.0,0.0,0.022,0.011,0.0,0.0,0.011,4.0,6.1,1.34
07:00,0.576,0.0,0.043,0.094,0.084,0.076,0.019,0.0,0.043,0.0,0.01,0.006,0.0,0.0,0.0,0.0,0.132,0.016,0.011,0.036,0.0,0.07,2.0,3.2,0.57
08:00,0.383,0.0,0.043,0.11,0.114,0.013,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.009,0.011,0.073,0.0,0.007,0.0,5.3,0.39
09:00,0.484,0.0,0.044,0.093,0.114,0.013,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.013,0.011,0.075,0.0,0.007,4.0,21.0,0.48
