# HA energy export  date=2026-09-12  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum) | UTILITY(SDR; independent meters, NOT part of the SEM partition)
# utility units: sensor.gas_meter_volume=ft3  sensor.water_meter_volume=gal  sensor.electric_meter_energy=kWh   TOTAL row is per-column units, not all kWh
# gas therms=0.3296 at btu=1030.0 pf=1.0  sem_vs_util=0.18%
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption,sensor.gas_meter_volume,sensor.water_meter_volume,sensor.electric_meter_energy
00:00,0.227,0.0,0.043,0.047,0.039,0.014,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.0,0.008,0.0,1.3,0.23
01:00,0.243,0.0,0.043,0.061,0.038,0.017,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.0,0.0,0.012,0.0,0.0,0.24
02:00,0.247,0.0,0.043,0.072,0.038,0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.0,0.007,0.0,0.1,0.25
03:00,0.356,0.0,0.042,0.055,0.04,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.009,0.011,0.0,0.0,0.008,0.0,0.1,0.36
04:00,0.226,0.0,0.043,0.051,0.039,0.013,0.009,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.0,0.007,0.0,0.1,0.22
05:00,0.25,0.0,0.042,0.07,0.039,0.012,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.0,0.0,0.007,2.0,1.2,0.25
06:00,0.603,0.0,0.043,0.061,0.038,0.013,0.009,0.001,0.201,0.0,0.143,0.012,0.0,0.0,0.0,0.0,0.0,0.019,0.011,0.0,0.0,0.008,2.0,3.3,0.61
07:00,0.375,0.0,0.043,0.046,0.059,0.05,0.013,0.001,0.061,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.011,0.02,0.0,0.044,2.0,4.9,0.38
08:00,0.401,0.0,0.043,0.069,0.107,0.027,0.035,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.067,0.0,0.02,2.0,6.4,0.39
09:00,0.391,0.0,0.043,0.079,0.127,0.013,0.021,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.01,0.011,0.088,0.0,0.007,0.0,5.4,0.38
10:00,0.477,0.0,0.043,0.11,0.136,0.012,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.01,0.012,0.089,0.007,0.008,0.0,3.2,0.49
11:00,0.462,0.0,0.043,0.121,0.14,0.013,0.01,0.058,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.092,0.007,0.007,2.0,2.8,0.46
12:00,0.405,0.0,0.042,0.095,0.098,0.018,0.01,0.001,0.005,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.051,0.007,0.012,0.0,2.8,0.4
13:00,0.685,0.0,0.043,0.122,0.068,0.057,0.038,0.195,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079,0.014,0.011,0.022,0.007,0.052,8.0,18.9,0.69
14:00,0.721,0.086,0.066,0.1,0.229,0.087,0.043,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.032,0.014,0.011,0.018,0.072,0.08,2.0,2.5,0.71
15:00,0.701,0.0,0.043,0.106,0.389,0.059,0.029,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.011,0.053,0.15,0.053,6.0,20.2,0.7
16:00,0.511,0.0,0.043,0.12,0.064,0.094,0.01,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.117,0.011,0.011,0.018,0.007,0.085,2.0,2.6,0.51
17:00,0.37,0.0,0.043,0.101,0.064,0.07,0.01,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.016,0.011,0.016,0.007,0.053,2.0,3.0,0.37
