# HA energy export  date=2026-08-01  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum)
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption
00:00,1.06,0.586,0.229,0.12,0.03,0.014,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.009,0.011,0.0,0.0,0.009
01:00,0.276,0.0,0.041,0.113,0.031,0.019,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.0,0.0,0.012
02:00,0.249,0.0,0.04,0.095,0.032,0.015,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.011,0.0,0.0,0.008
03:00,0.205,0.0,0.041,0.049,0.034,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.0,0.0,0.007
04:00,0.199,0.0,0.041,0.038,0.031,0.014,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.011,0.0,0.0,0.008
05:00,0.225,0.0,0.041,0.068,0.031,0.014,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.01,0.011,0.0,0.0,0.007
06:00,0.669,0.0,0.042,0.053,0.03,0.09,0.013,0.0,0.219,0.0,0.126,0.019,0.0,0.0,0.0,0.003,0.0,0.019,0.011,0.0,0.0,0.082
07:00,0.385,0.0,0.04,0.055,0.067,0.081,0.032,0.001,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.022,0.012,0.034,0.0,0.074
08:00,0.366,0.0,0.04,0.115,0.103,0.014,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.009,0.011,0.07,0.0,0.007
09:00,1.51,0.904,0.283,0.113,0.104,0.014,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.01,0.012,0.071,0.0,0.008
10:00,0.36,0.0,0.041,0.102,0.11,0.014,0.01,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.07,0.007,0.007
11:00,1.828,1.162,0.343,0.112,0.108,0.019,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.012,0.068,0.008,0.013
12:00,2.528,1.694,0.481,0.097,0.106,0.014,0.042,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.022,0.004,0.0,0.011,0.012,0.067,0.007,0.008
13:00,1.014,0.328,0.128,0.123,0.109,0.014,0.02,0.0,0.004,0.0,0.089,0.05,0.0,0.0,0.093,0.005,0.0,0.015,0.011,0.068,0.007,0.007
14:00,6.41,1.686,0.506,0.12,0.093,0.014,0.021,0.0,0.0,0.0,0.0,0.0,0.003,3.872,0.0,0.007,0.0,0.02,0.012,0.053,0.007,0.007
15:00,1.739,0.982,0.304,0.114,0.23,0.014,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.017,0.011,0.072,0.07,0.008
16:00,1.949,0.742,0.248,0.118,0.733,0.014,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.009,0.012,0.069,0.332,0.007
17:00,2.238,1.426,0.436,0.118,0.145,0.017,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.019,0.012,0.072,0.024,0.01
18:00,1.813,1.052,0.339,0.117,0.074,0.112,0.01,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.004,0.0,0.023,0.011,0.034,0.007,0.099
19:00,0.983,0.404,0.154,0.109,0.114,0.091,0.01,0.0,0.0,0.0,0.0,0.016,0.003,0.0,0.0,0.004,0.0,0.008,0.012,0.07,0.008,0.073
20:00,1.386,0.716,0.26,0.124,0.099,0.115,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.052,0.007,0.081
21:00,1.637,0.948,0.322,0.115,0.122,0.014,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.011,0.012,0.07,0.007,0.007
22:00,1.381,0.822,0.295,0.099,0.067,0.014,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.011,0.032,0.0,0.008
23:00,0.982,0.56,0.203,0.104,0.031,0.014,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.0,0.0,0.007
TOTAL_kWh,31.392,14.012,4.898,2.391,2.634,0.768,0.357,0.004,0.26,0.0,0.234,0.112,0.006,3.872,0.115,0.12,0.0,0.289,0.273,0.972,0.491,0.564
