# HA energy export  date=2026-07-23  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum)
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption
00:00,1.03,0.57,0.225,0.118,0.031,0.018,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.0,0.0,0.013
01:00,0.271,0.0,0.04,0.122,0.032,0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.01,0.0,0.0,0.008
02:00,0.264,0.0,0.041,0.117,0.033,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.0,0.0,0.007
03:00,0.239,0.0,0.04,0.087,0.035,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.01,0.0,0.0,0.007
04:00,0.693,0.0,0.041,0.051,0.032,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.484,0.007,0.011,0.0,0.0,0.008
05:00,0.827,0.0,0.04,0.068,0.031,0.012,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.596,0.008,0.01,0.0,0.0,0.007
06:00,1.263,0.0,0.04,0.07,0.032,0.075,0.013,0.0,0.23,0.0,0.114,0.003,0.0,0.0,0.0,0.0,0.596,0.024,0.011,0.0,0.0,0.068
07:00,1.022,0.0,0.04,0.047,0.069,0.078,0.051,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595,0.022,0.01,0.038,0.0,0.072
08:00,0.773,0.0,0.041,0.063,0.109,0.013,0.01,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.449,0.008,0.011,0.074,0.0,0.007
09:00,0.301,0.0,0.039,0.072,0.106,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.074,0.0,0.007
10:00,0.308,0.0,0.04,0.053,0.114,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.009,0.011,0.074,0.007,0.008
11:00,0.275,0.0,0.041,0.055,0.094,0.018,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.054,0.007,0.013
12:00,0.309,0.0,0.041,0.069,0.108,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.068,0.006,0.007
13:00,0.348,0.0,0.04,0.077,0.11,0.013,0.01,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.07,0.007,0.008
14:00,0.322,0.0,0.041,0.11,0.067,0.012,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.011,0.027,0.007,0.007
15:00,0.572,0.0,0.039,0.104,0.09,0.013,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.011,0.05,0.007,0.008
16:00,2.653,1.72,0.535,0.098,0.093,0.036,0.063,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.014,0.011,0.052,0.007,0.029
17:00,1.12,0.294,0.13,0.117,0.375,0.077,0.035,0.006,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.018,0.01,0.036,0.306,0.069
18:00,2.116,1.226,0.408,0.105,0.075,0.106,0.034,0.066,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.021,0.011,0.033,0.008,0.097
19:00,0.505,0.0,0.042,0.1,0.112,0.131,0.036,0.0,0.0,0.004,0.0,0.02,0.003,0.0,0.0,0.0,0.0,0.009,0.011,0.072,0.007,0.097
20:00,0.466,0.006,0.041,0.101,0.093,0.111,0.035,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.017,0.007,0.011,0.049,0.007,0.076
21:00,2.519,1.128,0.413,0.119,0.134,0.012,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.572,0.009,0.011,0.077,0.007,0.007
22:00,1.401,0.378,0.17,0.099,0.058,0.013,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.594,0.007,0.011,0.025,0.0,0.007
23:00,1.108,0.178,0.096,0.104,0.031,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.594,0.007,0.01,0.0,0.0,0.008
TOTAL_kWh,20.705,5.5,2.664,2.126,2.064,0.842,0.501,0.103,0.272,0.005,0.135,0.046,0.013,0.0,0.0,0.015,4.497,0.258,0.258,0.873,0.383,0.645
