# HA energy export  date=2026-09-03  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum) | UTILITY(SDR; independent meters, NOT part of the SEM partition)
# utility units: sensor.gas_meter_volume=ft3  sensor.water_meter_volume=gal  sensor.electric_meter_energy=kWh   TOTAL row is per-column units, not all kWh
# gas therms=0.206 at btu=1030.0 pf=1.0  sem_vs_util=0.4%
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption,sensor.gas_meter_volume,sensor.water_meter_volume,sensor.electric_meter_energy
00:00,0.38,0.0,0.041,0.104,0.039,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.008,0.012,0.0,0.0,0.007,0.0,0.0,0.38
01:00,0.272,0.0,0.041,0.1,0.039,0.017,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.0,0.0,0.013,0.0,0.1,0.27
02:00,0.999,0.544,0.219,0.098,0.038,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.0,0.0,0.007,0.0,1.2,1.0
03:00,1.035,0.372,0.162,0.251,0.041,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.009,0.012,0.0,0.0,0.008,0.0,0.1,1.03
04:00,0.508,0.186,0.105,0.082,0.04,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.0,0.0,0.007,0.0,0.0,0.5
05:00,0.247,0.0,0.041,0.072,0.039,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.01,0.011,0.0,0.0,0.007,0.0,0.1,0.25
06:00,0.705,0.0,0.041,0.071,0.042,0.02,0.02,0.0,0.208,0.0,0.125,0.008,0.0,0.0,0.0,0.0,0.101,0.02,0.012,0.0,0.0,0.008,4.0,3.0,0.7
07:00,0.516,0.0,0.04,0.07,0.061,0.112,0.059,0.0,0.06,0.001,0.032,0.005,0.0,0.0,0.0,0.0,0.0,0.025,0.012,0.015,0.0,0.085,4.0,10.6,0.52
08:00,0.332,0.0,0.041,0.07,0.114,0.026,0.009,0.0,0.006,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.069,0.0,0.018,0.0,1.6,0.33
09:00,0.362,0.0,0.04,0.062,0.123,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.009,0.012,0.075,0.0,0.007,0.0,1.4,0.35
10:00,0.355,0.0,0.041,0.053,0.129,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.008,0.012,0.076,0.007,0.008,0.0,3.3,0.36
11:00,0.312,0.0,0.041,0.06,0.13,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.012,0.077,0.007,0.007,0.0,0.1,0.31
12:00,0.327,0.0,0.041,0.07,0.127,0.017,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.076,0.007,0.012,0.0,1.4,0.32
13:00,0.464,0.0,0.041,0.074,0.124,0.013,0.01,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.121,0.01,0.012,0.078,0.006,0.008,0.0,1.2,0.46
14:00,0.357,0.0,0.04,0.11,0.1,0.013,0.01,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.021,0.012,0.053,0.007,0.007,4.0,4.4,0.35
15:00,0.374,0.0,0.042,0.12,0.125,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.012,0.078,0.007,0.008,2.0,1.5,0.37
16:00,0.759,0.13,0.078,0.112,0.119,0.03,0.01,0.177,0.0,0.0,0.0,0.021,0.02,0.0,0.0,0.0,0.0,0.01,0.012,0.073,0.007,0.007,0.0,0.0,0.74
17:00,1.71,0.826,0.275,0.097,0.269,0.023,0.01,0.003,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.132,0.017,0.012,0.074,0.155,0.007,2.0,2.3,1.72
18:00,1.301,0.616,0.213,0.11,0.121,0.123,0.009,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.022,0.012,0.066,0.015,0.089,2.0,5.0,1.31
19:00,0.684,0.148,0.087,0.108,0.132,0.129,0.011,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.009,0.012,0.077,0.007,0.094,0.0,2.3,0.68
20:00,1.731,0.902,0.309,0.113,0.104,0.114,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.114,0.009,0.012,0.05,0.007,0.079,0.0,0.3,1.73
21:00,1.191,0.614,0.218,0.105,0.13,0.013,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.011,0.012,0.072,0.007,0.008,2.0,4.9,1.19
22:00,0.309,0.0,0.043,0.067,0.121,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.074,0.0,0.007,0.0,0.0,0.31
23:00,1.045,0.618,0.216,0.058,0.053,0.013,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.012,0.013,0.0,0.007,0.0,2.5,1.03
TOTAL,16.275,4.956,2.456,2.237,2.36,0.793,0.383,0.18,0.274,0.001,0.176,0.09,0.021,0.0,0.0,0.017,0.788,0.28,0.286,1.096,0.239,0.515,20.0,47.3,16.21
