# HA energy export  date=2026-08-28  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum) | UTILITY(SDR; independent meters, NOT part of the SEM partition)
# utility units: sensor.gas_meter_volume=ft3  sensor.water_meter_volume=gal  sensor.electric_meter_energy=kWh   TOTAL row is per-column units, not all kWh
# gas therms=0.2678 at btu=1030.0 pf=1.0  sem_vs_util=0.35%
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption,sensor.gas_meter_volume,sensor.water_meter_volume,sensor.electric_meter_energy
00:00,0.263,0.0,0.041,0.071,0.037,0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.008,0.011,0.0,0.0,0.008,0.0,0.0,0.25
01:00,1.08,0.592,0.217,0.05,0.038,0.018,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.009,0.011,0.0,0.0,0.012,0.0,1.4,1.09
02:00,0.215,0.0,0.041,0.059,0.038,0.012,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.0,0.007,0.0,0.1,0.21
03:00,1.051,0.606,0.23,0.072,0.04,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.008,0.011,0.0,0.0,0.008,0.0,0.1,1.05
04:00,0.31,0.0,0.041,0.06,0.038,0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.009,0.011,0.0,0.0,0.007,0.0,0.1,0.31
05:00,0.209,0.0,0.041,0.049,0.038,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.0,0.0,0.007,0.0,0.1,0.21
06:00,0.598,0.0,0.04,0.067,0.038,0.056,0.015,0.0,0.196,0.0,0.111,0.007,0.0,0.0,0.0,0.0,0.0,0.019,0.011,0.0,0.0,0.042,4.0,8.8,0.59
07:00,0.47,0.0,0.041,0.067,0.07,0.096,0.061,0.0,0.049,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.011,0.032,0.0,0.075,2.0,12.0,0.47
08:00,0.339,0.0,0.041,0.057,0.11,0.013,0.01,0.0,0.0,0.0,0.02,0.004,0.0,0.0,0.0,0.0,0.021,0.01,0.011,0.073,0.0,0.007,0.0,3.5,0.34
09:00,0.416,0.0,0.04,0.071,0.11,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.008,0.011,0.072,0.0,0.007,0.0,0.1,0.41
