# HA energy export  date=2026-09-09  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum) | UTILITY(SDR; independent meters, NOT part of the SEM partition)
# utility units: sensor.gas_meter_volume=ft3  sensor.water_meter_volume=gal  sensor.electric_meter_energy=kWh   TOTAL row is per-column units, not all kWh
# gas therms=0.2472 at btu=1030.0 pf=1.0  sem_vs_util=0.47%
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption,sensor.gas_meter_volume,sensor.water_meter_volume,sensor.electric_meter_energy
00:00,0.349,0.0,0.042,0.051,0.039,0.015,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.008,0.011,0.0,0.0,0.01,0.0,1.2,0.35
01:00,0.23,0.0,0.042,0.058,0.039,0.016,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.0,0.0,0.01,0.0,0.1,0.23
02:00,0.241,0.0,0.042,0.071,0.04,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.0,0.007,0.0,0.1,0.24
03:00,0.362,0.0,0.043,0.056,0.041,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.009,0.011,0.0,0.0,0.008,0.0,0.0,0.35
04:00,0.222,0.0,0.042,0.05,0.041,0.012,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.0,0.007,0.0,0.1,0.23
05:00,0.244,0.0,0.042,0.071,0.039,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.0,0.0,0.008,0.0,0.1,0.24
06:00,0.783,0.0,0.042,0.06,0.039,0.073,0.023,0.0,0.208,0.0,0.135,0.007,0.0,0.0,0.0,0.0,0.122,0.022,0.011,0.0,0.0,0.054,6.0,7.0,0.78
07:00,0.429,0.0,0.042,0.047,0.078,0.095,0.05,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.011,0.039,0.0,0.073,2.0,5.0,0.43
08:00,0.347,0.0,0.042,0.067,0.143,0.013,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.077,0.024,0.008,0.0,2.5,0.34
09:00,0.596,0.0,0.042,0.075,0.395,0.013,0.01,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.073,0.28,0.007,0.0,2.6,0.59
