# HA energy export  date=2026-08-06  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum)
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption
00:00,0.734,0.36,0.145,0.104,0.032,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.0,0.0,0.007
01:00,0.853,0.262,0.124,0.102,0.031,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.229,0.009,0.011,0.0,0.0,0.014
02:00,1.042,0.626,0.233,0.059,0.032,0.014,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.002,0.008,0.011,0.0,0.0,0.007
03:00,0.615,0.3,0.128,0.064,0.034,0.014,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.009,0.011,0.0,0.0,0.008
04:00,0.638,0.328,0.141,0.052,0.032,0.014,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.011,0.0,0.0,0.007
05:00,0.929,0.558,0.194,0.059,0.031,0.014,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.01,0.011,0.0,0.0,0.007
06:00,0.817,0.074,0.063,0.069,0.037,0.089,0.014,0.0,0.225,0.0,0.142,0.029,0.0,0.0,0.0,0.003,0.0,0.022,0.011,0.0,0.0,0.07
07:00,0.68,0.0,0.042,0.048,0.074,0.089,0.041,0.0,0.037,0.0,0.02,0.008,0.002,0.0,0.0,0.004,0.233,0.023,0.011,0.038,0.0,0.07
08:00,0.31,0.0,0.04,0.065,0.106,0.014,0.01,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.0,0.009,0.011,0.073,0.0,0.007
09:00,0.42,0.09,0.058,0.071,0.11,0.014,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.077,0.0,0.008
10:00,1.432,0.884,0.277,0.054,0.12,0.014,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.01,0.012,0.079,0.007,0.007
11:00,1.673,1.008,0.303,0.054,0.113,0.019,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.102,0.009,0.011,0.071,0.008,0.013
12:00,0.87,0.396,0.142,0.074,0.091,0.014,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.068,0.008,0.011,0.048,0.007,0.008
13:00,1.583,0.988,0.298,0.077,0.12,0.014,0.009,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.009,0.012,0.079,0.008,0.007
14:00,0.567,0.0,0.04,0.113,0.07,0.014,0.01,0.006,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.004,0.0,0.017,0.011,0.031,0.007,0.007
15:00,2.669,1.788,0.5,0.116,0.075,0.017,0.012,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.007,0.0,0.02,0.011,0.034,0.008,0.008
16:00,4.087,2.806,0.785,0.119,0.116,0.023,0.053,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.1,0.004,0.0,0.014,0.012,0.075,0.008,0.007
17:00,4.098,0.012,0.045,0.115,0.08,0.115,0.054,0.0,0.0,0.0,0.0,0.001,0.0,2.933,0.662,0.007,0.0,0.021,0.011,0.038,0.007,0.1
18:00,0.973,0.0,0.04,0.123,0.084,0.11,0.02,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.492,0.003,0.0,0.02,0.011,0.042,0.008,0.093
19:00,0.661,0.0,0.04,0.12,0.116,0.141,0.02,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.161,0.005,0.0,0.01,0.012,0.074,0.008,0.095
20:00,8.51,2.628,0.778,0.119,0.106,0.092,0.019,0.0,0.0,0.0,0.0,0.0,0.0,4.49,0.011,0.017,0.15,0.009,0.011,0.056,0.007,0.063
21:00,3.982,2.612,0.792,0.121,0.13,0.014,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.03,0.0,0.011,0.012,0.08,0.008,0.007
22:00,0.589,0.228,0.108,0.109,0.065,0.014,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.027,0.0,0.008
23:00,2.042,1.356,0.431,0.124,0.033,0.014,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.009,0.011,0.0,0.0,0.007
TOTAL_kWh,40.774,17.304,5.747,2.131,1.838,0.91,0.458,0.008,0.262,0.0,0.162,0.073,0.065,7.574,1.426,0.14,0.784,0.289,0.269,0.922,0.091,0.635
