# HA energy export  date=2026-07-26  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum)
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption
00:00,0.999,0.538,0.214,0.119,0.031,0.016,0.02,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.01,0.0,0.0,0.01
01:00,0.262,0.0,0.041,0.101,0.03,0.017,0.02,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.0,0.0,0.011
02:00,0.285,0.0,0.041,0.104,0.032,0.015,0.02,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.007,0.011,0.0,0.0,0.007
03:00,0.868,0.0,0.041,0.1,0.035,0.013,0.02,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588,0.007,0.01,0.0,0.0,0.008
04:00,0.873,0.0,0.039,0.098,0.031,0.013,0.02,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597,0.007,0.011,0.0,0.0,0.007
05:00,0.834,0.0,0.042,0.054,0.031,0.014,0.02,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597,0.008,0.01,0.0,0.0,0.008
06:00,1.256,0.0,0.041,0.051,0.032,0.054,0.025,0.004,0.219,0.0,0.138,0.002,0.0,0.0,0.0,0.0,0.598,0.023,0.011,0.0,0.0,0.047
07:00,0.671,0.0,0.04,0.059,0.06,0.089,0.018,0.004,0.049,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.28,0.012,0.01,0.027,0.0,0.082
08:00,0.422,0.0,0.041,0.055,0.102,0.014,0.079,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.011,0.07,0.0,0.007
09:00,0.288,0.0,0.041,0.067,0.102,0.014,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.069,0.0,0.008
10:00,0.314,0.0,0.041,0.046,0.112,0.014,0.012,0.0,0.003,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.072,0.007,0.007
11:00,0.311,0.0,0.041,0.075,0.1,0.019,0.015,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.06,0.007,0.013
12:00,0.344,0.024,0.045,0.089,0.081,0.014,0.026,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.04,0.007,0.008
13:00,2.031,1.226,0.382,0.24,0.071,0.014,0.02,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.031,0.007,0.007
14:00,0.362,0.0,0.041,0.12,0.111,0.014,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.011,0.071,0.006,0.007
15:00,0.367,0.0,0.04,0.119,0.113,0.014,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.011,0.073,0.007,0.008
16:00,0.394,0.0,0.04,0.12,0.117,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.077,0.007,0.033
17:00,0.582,0.0,0.04,0.113,0.074,0.086,0.02,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.01,0.033,0.007,0.078
18:00,0.572,0.0,0.041,0.121,0.096,0.075,0.02,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.011,0.056,0.007,0.068
19:00,2.335,1.036,0.349,0.121,0.122,0.06,0.02,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.539,0.007,0.011,0.082,0.007,0.041
20:00,2.832,1.338,0.453,0.115,0.111,0.122,0.02,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.588,0.007,0.011,0.071,0.007,0.087
21:00,2.021,1.072,0.382,0.119,0.129,0.015,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.159,0.011,0.011,0.075,0.007,0.008
22:00,0.311,0.0,0.041,0.119,0.061,0.014,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.011,0.027,0.0,0.007
23:00,1.124,0.65,0.251,0.1,0.03,0.014,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.01,0.0,0.0,0.007
TOTAL_kWh,20.658,5.884,2.768,2.425,1.814,0.774,0.568,0.387,0.276,0.003,0.17,0.004,0.0,0.0,0.0,0.012,3.964,0.247,0.258,0.934,0.083,0.574
