# HA energy export  date=2026-07-12  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum)
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption
00:00,1.613,0.586,0.229,0.118,0.025,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.541,0.007,0.011,0.0,0.0,0.008
01:00,0.894,0.0,0.042,0.123,0.024,0.018,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.591,0.007,0.011,0.0,0.0,0.013
02:00,0.892,0.0,0.043,0.123,0.025,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.594,0.006,0.011,0.0,0.0,0.008
03:00,0.886,0.0,0.043,0.116,0.027,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.592,0.007,0.011,0.0,0.0,0.007
04:00,0.328,0.0,0.043,0.122,0.026,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.042,0.007,0.011,0.0,0.0,0.007
05:00,0.286,0.0,0.043,0.121,0.024,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.008,0.011,0.0,0.0,0.008
06:00,0.715,0.0,0.043,0.115,0.025,0.071,0.017,0.0,0.223,0.0,0.141,0.003,0.0,0.0,0.0,0.008,0.0,0.021,0.01,0.0,0.0,0.064
07:00,0.453,0.0,0.042,0.12,0.053,0.087,0.01,0.0,0.05,0.0,0.021,0.0,0.0,0.0,0.0,0.009,0.0,0.015,0.011,0.029,0.0,0.08
08:00,0.346,0.0,0.038,0.104,0.082,0.011,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.009,0.01,0.058,0.0,0.006
09:00,0.384,0.0,0.048,0.128,0.109,0.015,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.008,0.013,0.082,0.0,0.008
10:00,1.449,0.862,0.277,0.107,0.101,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.009,0.011,0.07,0.007,0.008
11:00,1.573,0.956,0.296,0.118,0.096,0.019,0.01,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.012,0.012,0.066,0.007,0.013
12:00,0.534,0.0,0.042,0.1,0.058,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.244,0.007,0.011,0.027,0.007,0.008
13:00,2.454,1.176,0.361,0.116,0.099,0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.01,0.58,0.01,0.011,0.068,0.007,0.007
14:00,1.693,0.622,0.207,0.095,0.073,0.012,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.584,0.015,0.012,0.043,0.006,0.008
15:00,0.95,0.0,0.042,0.116,0.102,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.584,0.016,0.011,0.07,0.007,0.007
16:00,2.478,1.378,0.415,0.111,0.11,0.018,0.026,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.011,0.334,0.008,0.011,0.079,0.007,0.007
17:00,2.68,1.656,0.504,0.099,0.282,0.037,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.015,0.012,0.075,0.182,0.022
18:00,2.033,1.118,0.364,0.12,0.087,0.113,0.01,0.013,0.0,0.0,0.103,0.02,0.0,0.0,0.0,0.01,0.0,0.021,0.011,0.036,0.029,0.096
19:00,0.454,0.0,0.043,0.107,0.101,0.122,0.01,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.009,0.0,0.007,0.011,0.07,0.007,0.088
20:00,1.465,0.776,0.277,0.117,0.078,0.124,0.009,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.009,0.0,0.007,0.012,0.047,0.007,0.088
21:00,1.234,0.628,0.234,0.104,0.117,0.018,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.01,0.011,0.07,0.006,0.011
22:00,1.091,0.586,0.223,0.106,0.082,0.013,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.007,0.011,0.053,0.0,0.007
23:00,0.353,0.068,0.064,0.112,0.022,0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.007,0.011,0.0,0.0,0.008
TOTAL_kWh,27.238,10.412,3.963,2.718,1.828,0.808,0.401,0.013,0.276,0.0,0.265,0.041,0.009,0.0,0.0,0.226,4.686,0.246,0.268,0.943,0.279,0.587
