# HA energy export  date=2026-08-27  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum) | UTILITY(SDR; independent meters, NOT part of the SEM partition)
# utility units: sensor.gas_meter_volume=ft3  sensor.water_meter_volume=gal  sensor.electric_meter_energy=kWh   TOTAL row is per-column units, not all kWh
# gas therms=0.2678 at btu=1030.0 pf=1.0  sem_vs_util=0.46%
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption,sensor.gas_meter_volume,sensor.water_meter_volume,sensor.electric_meter_energy
00:00,0.395,0.0,0.04,0.105,0.038,0.015,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124,0.008,0.011,0.0,0.0,0.01,0.0,0.1,0.39
01:00,0.265,0.0,0.041,0.102,0.037,0.016,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.0,0.0,0.01,0.0,0.8,0.26
02:00,0.261,0.0,0.041,0.102,0.039,0.012,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.0,0.007,0.0,0.6,0.26
03:00,0.269,0.0,0.041,0.106,0.039,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.011,0.0,0.0,0.008,0.0,0.1,0.27
04:00,0.407,0.0,0.041,0.111,0.038,0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.008,0.011,0.0,0.0,0.007,0.0,0.2,0.4
05:00,0.265,0.0,0.041,0.102,0.038,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.0,0.0,0.007,2.0,1.4,0.26
06:00,0.591,0.0,0.04,0.061,0.037,0.012,0.01,0.0,0.211,0.0,0.14,0.009,0.0,0.0,0.0,0.0,0.0,0.02,0.011,0.0,0.0,0.008,2.0,1.5,0.59
07:00,1.495,0.6,0.226,0.241,0.053,0.087,0.064,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.027,0.011,0.016,0.0,0.079,8.0,26.5,1.49
08:00,1.308,0.612,0.232,0.11,0.114,0.018,0.009,0.0,0.0,0.0,0.021,0.009,0.0,0.0,0.0,0.0,0.111,0.009,0.011,0.075,0.0,0.012,0.0,3.1,1.31
09:00,0.309,0.0,0.041,0.079,0.111,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.071,0.0,0.007,0.0,1.8,0.31
10:00,0.308,0.0,0.04,0.069,0.118,0.012,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.072,0.007,0.008,0.0,1.4,0.3
11:00,0.439,0.0,0.041,0.069,0.124,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.009,0.011,0.078,0.008,0.007,0.0,1.6,0.43
