# HA energy export  date=2026-08-25  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum) | UTILITY(SDR; independent meters, NOT part of the SEM partition)
# utility units: sensor.gas_meter_volume=ft3  sensor.water_meter_volume=gal  sensor.electric_meter_energy=kWh   TOTAL row is per-column units, not all kWh
# gas therms=0.2472 at btu=1030.0 pf=1.0  sem_vs_util=0.85%
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption,sensor.gas_meter_volume,sensor.water_meter_volume,sensor.electric_meter_energy
00:00,0.289,0.0,0.041,0.116,0.045,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.007,0.007,0.0,0.0,0.29
01:00,0.329,0.0,0.041,0.063,0.045,0.018,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.009,0.011,0.0,0.008,0.013,0.0,1.4,0.33
02:00,0.288,0.0,0.04,0.057,0.044,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.008,0.01,0.0,0.007,0.007,0.0,0.1,0.28
03:00,0.229,0.0,0.041,0.051,0.048,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.011,0.0,0.008,0.008,0.0,0.0,0.23
04:00,0.242,0.0,0.04,0.065,0.045,0.012,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.007,0.007,0.0,0.1,0.24
05:00,0.384,0.0,0.041,0.069,0.045,0.013,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.01,0.011,0.0,0.008,0.007,0.0,0.1,0.38
06:00,0.577,0.0,0.041,0.058,0.045,0.013,0.024,0.0,0.199,0.0,0.119,0.011,0.0,0.0,0.0,0.0,0.0,0.02,0.011,0.0,0.007,0.008,6.0,9.0,0.58
07:00,0.409,0.0,0.041,0.049,0.068,0.098,0.015,0.0,0.054,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.011,0.022,0.008,0.09,0.0,1.0,0.41
08:00,0.326,0.0,0.04,0.069,0.12,0.012,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.011,0.074,0.008,0.007,0.0,4.5,0.32
09:00,0.467,0.0,0.041,0.066,0.13,0.013,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.009,0.011,0.083,0.007,0.007,2.0,5.1,0.46
10:00,0.415,0.062,0.058,0.049,0.126,0.013,0.01,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.011,0.078,0.008,0.008,0.0,2.6,0.39
11:00,0.567,0.158,0.089,0.081,0.118,0.016,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.012,0.073,0.007,0.011,0.0,7.3,0.58
12:00,0.373,0.0,0.04,0.114,0.121,0.015,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.01,0.011,0.074,0.008,0.009,2.0,2.6,0.37
13:00,0.508,0.0,0.041,0.121,0.086,0.013,0.011,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.131,0.012,0.011,0.041,0.007,0.007,0.0,3.3,0.51
14:00,0.512,0.0,0.041,0.115,0.127,0.013,0.01,0.088,0.0,0.0,0.0,0.04,0.001,0.0,0.0,0.0,0.0,0.028,0.011,0.08,0.008,0.007,8.0,4.4,0.51
15:00,0.369,0.0,0.041,0.12,0.12,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.012,0.073,0.007,0.008,0.0,1.6,0.36
16:00,0.511,0.0,0.04,0.104,0.075,0.07,0.013,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.133,0.01,0.011,0.029,0.008,0.06,0.0,2.3,0.52
17:00,0.597,0.0,0.041,0.119,0.243,0.11,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.011,0.04,0.157,0.093,2.0,0.3,0.59
18:00,0.496,0.0,0.041,0.123,0.099,0.121,0.02,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.02,0.011,0.045,0.015,0.093,4.0,4.0,0.5
19:00,0.649,0.0,0.04,0.124,0.127,0.133,0.02,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.137,0.009,0.011,0.078,0.008,0.086,0.0,1.4,0.64
20:00,0.469,0.0,0.041,0.118,0.104,0.127,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.009,0.012,0.05,0.008,0.075,0.0,0.1,0.47
21:00,3.242,2.022,0.677,0.101,0.145,0.014,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.137,0.011,0.011,0.081,0.007,0.008,0.0,5.6,3.24
