# HA energy export  date=2026-08-07  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum)
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption
00:00,0.62,0.266,0.122,0.116,0.034,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.0,0.0,0.013
01:00,0.268,0.0,0.04,0.121,0.034,0.014,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.009,0.011,0.0,0.0,0.008
02:00,1.915,1.254,0.409,0.123,0.034,0.014,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.008,0.011,0.0,0.0,0.007
03:00,0.267,0.0,0.04,0.118,0.037,0.014,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.009,0.011,0.0,0.0,0.007
04:00,0.266,0.0,0.041,0.116,0.035,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.008,0.011,0.0,0.0,0.008
05:00,1.883,1.124,0.372,0.115,0.035,0.014,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.144,0.01,0.011,0.0,0.0,0.007
06:00,0.682,0.0,0.041,0.115,0.034,0.071,0.024,0.0,0.218,0.0,0.121,0.006,0.0,0.0,0.0,0.003,0.0,0.024,0.011,0.0,0.0,0.064
07:00,0.366,0.0,0.039,0.06,0.069,0.082,0.02,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.016,0.011,0.036,0.0,0.074
08:00,0.744,0.34,0.133,0.048,0.109,0.014,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.011,0.011,0.075,0.0,0.008
09:00,1.011,0.534,0.191,0.061,0.117,0.014,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.009,0.011,0.083,0.0,0.007
10:00,2.826,1.854,0.511,0.072,0.119,0.014,0.047,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.003,0.127,0.012,0.012,0.077,0.008,0.008
11:00,1.405,0.85,0.255,0.067,0.091,0.02,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.012,0.011,0.05,0.007,0.013
12:00,1.866,1.24,0.357,0.084,0.077,0.014,0.01,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.003,0.0,0.01,0.011,0.035,0.008,0.007
13:00,1.8,0.964,0.292,0.243,0.07,0.014,0.01,0.0,0.004,0.0,0.0,0.0,0.02,0.0,0.0,0.004,0.113,0.012,0.011,0.028,0.007,0.008
14:00,2.79,1.91,0.538,0.118,0.107,0.014,0.021,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.017,0.012,0.066,0.008,0.007
15:00,4.17,2.816,0.779,0.113,0.117,0.014,0.009,0.197,0.005,0.0,0.0,0.004,0.003,0.0,0.0,0.003,0.0,0.024,0.011,0.074,0.007,0.007
16:00,4.156,2.834,0.785,0.112,0.107,0.014,0.131,0.016,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.014,0.011,0.066,0.008,0.008
17:00,0.682,0.008,0.045,0.126,0.096,0.071,0.044,0.212,0.004,0.0,0.0,0.0,0.001,0.0,0.0,0.004,0.0,0.02,0.012,0.055,0.008,0.064
18:00,0.66,0.0,0.041,0.119,0.08,0.105,0.023,0.21,0.003,0.0,0.0,0.018,0.0,0.0,0.0,0.003,0.0,0.016,0.011,0.038,0.007,0.093
19:00,0.534,0.0,0.042,0.12,0.123,0.133,0.013,0.0,0.004,0.0,0.0,0.02,0.0,0.0,0.0,0.004,0.022,0.009,0.011,0.078,0.008,0.09
20:00,3.902,2.604,0.776,0.124,0.095,0.104,0.011,0.001,0.004,0.002,0.0,0.001,0.002,0.0,0.0,0.005,0.095,0.01,0.012,0.046,0.008,0.072
21:00,2.023,0.872,0.303,0.113,0.137,0.013,0.057,0.018,0.004,0.419,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.01,0.011,0.078,0.007,0.007
22:00,1.406,0.666,0.253,0.124,0.062,0.013,0.013,0.011,0.004,0.2,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.01,0.011,0.026,0.0,0.008
23:00,1.565,0.984,0.34,0.116,0.033,0.013,0.009,0.001,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.009,0.011,0.0,0.0,0.007
TOTAL_kWh,37.807,21.12,6.745,2.644,1.852,0.826,0.677,0.666,0.304,0.621,0.121,0.049,0.03,0.0,0.0,0.185,0.501,0.297,0.268,0.911,0.091,0.602
