# HA energy export  date=2026-07-16  tz=America/New_York  rate=$0.29/kWh  hours=24
# groups: SEM_WHOLE | SEM_BRANCHES(partition) | KASA_STANDALONE(in Other) | KASA_SUBMETERED(subset of a SEM ckt; do NOT sum)
hour,sensor.sem_whole_home_energy,sensor.sem_ac_energy,sensor.sem_furnace_energy,sensor.sem_fridge_energy,sensor.sem_bedroom_office_energy,sensor.sem_family_room_energy,sensor.sem_master_suite_energy,sensor.sem_counter_1_energy,sensor.sem_counter_2_energy,sensor.sem_dishwasher_disposal_energy,sensor.sem_microwave_energy,sensor.sem_dining_kitchen_lights_energy,sensor.sem_garage_energy,sensor.sem_dryer_energy,sensor.sem_washer_energy,sensor.sem_laundry_bedroom_energy,sensor.dehumidifier_energy,sensor.hwh_today_s_consumption,sensor.basement_router_today_s_consumption,sensor.computer_outlet_today_s_consumption,sensor.tv_room_today_s_consumption,sensor.living_room_tv_sonos_homatics_today_s_consumption
00:00,0.269,0.0,0.04,0.113,0.023,0.019,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.003,0.011,0.0,0.0,0.013
01:00,0.269,0.0,0.041,0.119,0.023,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.002,0.01,0.0,0.0,0.008
02:00,0.262,0.0,0.041,0.113,0.024,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.003,0.011,0.0,0.0,0.007
03:00,0.249,0.0,0.041,0.098,0.026,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.003,0.011,0.0,0.0,0.007
04:00,0.212,0.0,0.041,0.056,0.023,0.012,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.003,0.011,0.0,0.0,0.008
05:00,0.206,0.0,0.041,0.048,0.023,0.013,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.003,0.011,0.0,0.0,0.007
06:00,0.647,0.0,0.04,0.055,0.023,0.08,0.023,0.0,0.226,0.0,0.099,0.02,0.0,0.0,0.0,0.009,0.0,0.019,0.011,0.0,0.0,0.073
07:00,0.452,0.0,0.041,0.072,0.052,0.091,0.049,0.0,0.049,0.0,0.01,0.003,0.01,0.0,0.0,0.009,0.0,0.019,0.011,0.029,0.0,0.083
08:00,0.316,0.0,0.041,0.064,0.097,0.013,0.01,0.0,0.0,0.0,0.021,0.002,0.0,0.0,0.0,0.009,0.0,0.008,0.011,0.073,0.0,0.008
09:00,1.368,0.566,0.195,0.048,0.099,0.013,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.362,0.008,0.011,0.075,0.0,0.007
10:00,0.928,0.0,0.04,0.068,0.092,0.012,0.01,0.023,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.008,0.591,0.009,0.012,0.061,0.006,0.008
11:00,1.483,0.48,0.17,0.07,0.069,0.019,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.59,0.007,0.011,0.039,0.007,0.013
12:00,1.941,0.81,0.271,0.047,0.124,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.587,0.007,0.011,0.091,0.007,0.007
13:00,1.334,0.61,0.217,0.103,0.076,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.009,0.217,0.008,0.011,0.046,0.007,0.008
14:00,1.447,0.0,0.04,0.109,0.066,0.014,0.01,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.008,0.0,0.016,0.012,0.036,0.007,0.008
15:00,1.362,0.0,0.041,0.099,0.064,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.018,0.011,0.034,0.007,0.063
16:00,0.603,0.204,0.098,0.105,0.108,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.009,0.0,0.008,0.011,0.076,0.007,0.007
17:00,3.457,2.246,0.652,0.113,0.333,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.014,0.012,0.077,0.229,0.008
18:00,1.912,1.136,0.359,0.12,0.092,0.095,0.009,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.009,0.0,0.015,0.011,0.04,0.029,0.088
19:00,0.861,0.064,0.061,0.118,0.122,0.119,0.01,0.0,0.28,0.0,0.0,0.015,0.005,0.0,0.0,0.009,0.0,0.009,0.011,0.083,0.007,0.092
20:00,2.05,0.936,0.312,0.117,0.096,0.119,0.01,0.0,0.351,0.0,0.0,0.03,0.0,0.0,0.0,0.008,0.0,0.009,0.012,0.057,0.007,0.084
21:00,2.042,0.926,0.309,0.105,0.127,0.015,0.037,0.0,0.001,0.432,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.011,0.011,0.084,0.007,0.008
22:00,1.517,0.794,0.268,0.101,0.046,0.013,0.012,0.0,0.001,0.209,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.008,0.011,0.021,0.0,0.008
23:00,1.05,0.61,0.232,0.099,0.023,0.013,0.01,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.008,0.011,0.0,0.0,0.007
TOTAL_kWh,26.237,9.382,3.632,2.16,1.851,0.821,0.379,0.023,0.909,0.641,0.13,0.085,0.07,0.0,0.0,0.222,2.347,0.218,0.267,0.922,0.327,0.63
