date,hold_setpoint,setback_setpoint,setback_degrees,recovery_start_temp,degrees_to_recover,recovery_minutes,min_per_degree,outdoor_temp
2026-02-11 06:14,67.0,63.0,4.0,63.0,4.0,14.2,3.5,28.4
2026-02-13 06:14,67.0,63.0,4.0,63.0,4.0,14.2,3.5,22.6
2026-02-14 06:13,67.0,63.0,4.0,63.0,4.0,13.2,3.3,23.1
2026-02-15 06:15,67.0,63.0,4.0,63.0,4.0,15.2,3.8,21.9
2026-02-16 06:12,67.0,63.0,4.0,63.0,4.0,12.5,3.1,29.3
2026-02-18 06:13,67.0,63.0,4.0,63.0,4.0,13.4,3.4,31.8
2026-02-19 06:12,67.0,63.0,4.0,63.0,4.0,12.8,3.2,33.6
2026-02-20 06:14,67.0,63.0,4.0,63.0,4.0,14.7,3.7,31.8
2026-02-21 06:13,67.0,63.0,4.0,63.0,4.0,13.1,3.3,31.9
2026-02-22 06:13,67.0,63.0,4.0,63.0,4.0,13.0,3.2,31.7
2026-02-23 06:13,67.0,63.0,4.0,63.0,4.0,13.0,3.2,29.4
2026-02-24 06:12,67.0,63.0,4.0,63.0,4.0,12.6,3.1,21.1
2026-02-25 06:13,67.0,63.0,4.0,63.0,4.0,13.2,3.3,30.7
2026-02-26 06:12,67.0,63.0,4.0,63.0,4.0,12.9,3.2,24.4
2026-02-27 06:14,67.0,63.0,4.0,63.0,4.0,14.9,3.7,20.4
2026-02-28 06:13,67.0,63.0,4.0,63.0,4.0,13.5,3.4,27.1
2026-03-01 06:13,67.0,63.0,4.0,63.0,4.0,13.2,3.3,32.5
2026-03-02 06:16,67.0,63.0,4.0,63.0,4.0,16.2,4.0,18.2
2026-03-03 06:13,67.0,63.0,4.0,63.0,4.0,13.5,3.4,20.7
2026-03-04 06:13,67.0,63.0,4.0,63.0,4.0,13.8,3.5,32.2
2026-03-05 06:12,67.0,63.0,4.0,63.0,4.0,12.5,3.1,32.2
2026-03-06 06:11,67.0,63.0,4.0,63.0,4.0,11.4,2.9,36.9
2026-03-07 06:12,67.0,63.0,4.0,63.0,4.0,12.1,3.0,34.8
2026-03-08 06:10,67.0,63.0,4.0,65.0,2.0,10.1,5.0,39.9
2026-03-09 06:10,67.0,63.0,4.0,65.0,2.0,10.1,5.0,33.6
2026-03-10 06:05,67.0,63.0,4.0,66.0,1.0,5.0,5.0,37.8
2026-03-25 06:14,67.0,63.0,4.0,63.0,4.0,14.2,3.5,32.7
2026-03-26 06:12,67.0,63.0,4.0,63.0,4.0,12.8,3.2,40.0
2026-03-28 06:13,67.0,63.0,4.0,63.0,4.0,13.8,3.5,31.2
2026-03-29 06:14,67.0,63.0,4.0,63.0,4.0,14.4,3.6,25.8
2026-03-30 06:12,67.0,63.0,4.0,63.0,4.0,12.1,3.0,38.5
2026-04-03 06:17,67.0,63.0,4.0,63.0,4.0,17.3,4.3,40.4
2026-04-05 06:05,67.0,63.0,4.0,66.0,1.0,5.0,5.0,42.5
2026-04-06 06:05,65.0,63.0,2.0,63.0,2.0,5.2,2.6,37.6
2026-04-07 06:23,67.0,63.0,4.0,63.0,4.0,23.9,6.0,37.2
2026-04-09 06:23,67.0,63.0,4.0,63.0,4.0,23.9,6.0,32.2
2026-04-11 06:05,67.0,63.0,4.0,66.0,1.0,5.0,5.0,46.8
2026-04-12 06:23,67.0,63.0,4.0,63.0,4.0,23.5,5.9,37.2
2026-04-13 06:21,67.0,63.0,4.0,63.0,4.0,21.5,5.4,45.1
2026-04-20 06:25,67.0,63.0,4.0,63.0,4.0,25.0,6.2,32.7
2026-04-21 06:23,67.0,63.0,4.0,63.0,4.0,23.3,5.8,30.9
2026-04-22 06:25,67.0,63.0,4.0,63.0,4.0,25.0,6.2,41.9
2026-04-23 06:30,67.0,63.0,4.0,63.0,4.0,31.0,7.8,39.1
2026-04-25 06:25,67.0,63.0,4.0,63.0,4.0,25.9,6.5,35.5
2026-04-26 06:23,67.0,63.0,4.0,63.0,4.0,23.3,5.8,41.5
2026-04-27 06:21,67.0,63.0,4.0,63.0,4.0,21.3,5.3,40.7
2026-04-30 06:05,67.0,63.0,4.0,66.0,1.0,5.0,5.0,47.3
2026-05-01 06:26,67.0,63.0,4.0,63.0,4.0,26.2,6.5,41.4
2026-05-03 06:21,67.0,63.0,4.0,63.0,4.0,21.2,5.3,40.1
