date,hold_setpoint,setback_setpoint,setback_degrees,recovery_start_temp,degrees_to_recover,recovery_minutes,min_per_degree,outdoor_temp
2026-05-09 06:12,67.0,63.0,4.0,65.0,2.0,12.6,6.3,48.9
2026-05-12 06:13,67.0,63.0,4.0,63.0,4.0,13.8,3.5,41.7
2026-05-13 06:10,67.0,63.0,4.0,65.0,2.0,10.5,5.2,48.8
2026-05-14 06:05,67.0,63.0,4.0,66.0,1.0,5.0,5.0,53.2
2026-05-15 06:12,67.0,63.0,4.0,65.0,2.0,12.5,6.2,48.7
2026-05-16 06:13,67.0,63.0,4.0,65.0,2.0,13.1,6.5,48.0
2026-05-25 09:23,68.0,65.0,3.0,66.0,2.0,14.7,7.3,57.0
2026-05-31 08:30,68.0,65.0,3.0,67.0,1.0,5.0,5.0,52.8
2026-06-02 07:36,68.0,65.0,3.0,67.0,1.0,96.5,96.5,53.9
2026-07-05 08:33,76.0,74.0,2.0,75.0,1.0,5.4,5.4,70.0
